reward_today	future_reward	delay	trials.thisRepN	trials.thisTrialN	trials.thisN	trials.thisIndex	thisRow.t	notes	trial.started	fixation.started	text.started	key_resp.started	fixation.stopped	trial.stopped	key_resp.keys	key_resp.rt	key_resp.duration	participant	session	date	expName	psychopyVersion	frameRate	expStart				k		
49	60	89	5	2	37	4	124.7922818		124.7695474	124.7922818	125.7768776	125.7768776	125.7929126	127.584309	l	1.7951963	None	185266	1	2024-11-21_14h12.29.385	delay discounting	2024.1.5	None	2024-11-21 14h12.43.600875 +0530				0.002522357		
11	30	7	5	3	38	0	127.6093068		127.5855655	127.6093068	128.6103617	128.6103617	128.6103617	135.1687234	l	6.5469608	None	185266	1	2024-11-21_14h12.29.385	delay discounting	2024.1.5	None	2024-11-21 14h12.43.600875 +0530				0.246753247		
37	50	21	5	4	39	2	135.1936125		135.1697846	135.1936125	136.1781058	136.1781058	136.2104062	139.5188511	l	3.3284737	None	185266	1	2024-11-21_14h12.29.385	delay discounting	2024.1.5	None	2024-11-21 14h12.43.600875 +0530				0.016731017		
40	55	62	5	5	40	3	139.5440868		139.5198795	139.5440868	140.5281199	140.5281199	140.5450606	143.4871279	l	2.9446396	None	185266	1	2024-11-21_14h12.29.385	delay discounting	2024.1.5	None	2024-11-21 14h12.43.600875 +0530				0.006048387		
67	75	119	5	6	41	5	143.5110093		143.488324	143.5110093	144.4953704	144.4953704	144.5119867	146.700504	l	2.1928785	None	185266	1	2024-11-21_14h12.29.385	delay discounting	2024.1.5	None	2024-11-21 14h12.43.600875 +0530				0.001003386		
40	55	62	6	1	43	3	148.6288526		148.618574	148.6288526	149.6290172	149.6290172	149.6290172	150.6035066	l	0.9725711	None	185266	1	2024-11-21_14h12.29.385	delay discounting	2024.1.5	None	2024-11-21 14h12.43.600875 +0530				0.006048387		
11	30	7	6	3	45	0	154.2287649		154.2037948	154.2287649	155.2131097	155.2131097	155.2300665	156.0703694	l	0.847411	None	185266	1	2024-11-21_14h12.29.385	delay discounting	2024.1.5	None	2024-11-21 14h12.43.600875 +0530				0.246753247		
37	50	21	6	5	47	2	158.3460587		158.3227542	158.3460587	159.3301909	159.3301909	159.3470237	160.3913612	l	1.0553347	None	185266	1	2024-11-21_14h12.29.385	delay discounting	2024.1.5	None	2024-11-21 14h12.43.600875 +0530				0.016731017		
15	35	13	6	6	48	1	160.4129833		160.3933513	160.4129833	161.3969216	161.3969216	161.4137252	165.8195001	l	4.4177026	None	185266	1	2024-11-21_14h12.29.385	delay discounting	2024.1.5	None	2024-11-21 14h12.43.600875 +0530				0.102564103		
11	30	7	7	1	50	0	168.6471059		168.6206415	168.6471059	169.6312605	169.6312605	169.6477545	170.9041057	l	1.26288	None	185266	1	2024-11-21_14h12.29.385	delay discounting	2024.1.5	None	2024-11-21 14h12.43.600875 +0530				0.246753247		
